symbol,phase,exit_date,days_to_exit,exit_price,shares,exit_pct,pnl,return_pct,reason
MU,FASE_3,2024-06-20,2,151.74000549316406,49,60.49382716049383,0,0,STOP_LOSS
MU,FASE_1,2024-06-18,0,159.9320487209441,32,39.50617283950617,262.14538328896106,5.3987366094757965,TP1: +1ADR Risk-Free Conversion
ENVX,FASE_3,2024-06-13,1,12.789999961853027,75,60,0,0,STOP_LOSS
ENVX,FASE_1,2024-06-12,0,14.151944241142273,50,40,68.09721396446227,10.648508861230097,TP1: +1R Risk-Free Conversion
EGO,FASE_3,2024-04-10,7,15.014700345039367,631,60.03805899143673,0,0,STOP_LOSS
EGO,FASE_1,2024-04-09,6,15.489400728225707,420,39.96194100856327,199.37416093826275,3.161570809124897,TP1: +1R Risk-Free Conversion
